OrganizationName,Description,Category,Technologies,Topics,CompletedProjects,OrganizationWebsite,OrganizationURL,Logo
Rocket.Chat,The ultimate open source chat and messaging platform,Social / Communications,"javascript , meteor.js , mongo , webrtc","chat , progressive web apps , realtime , collaboration , instant messaging",4,https://github.com/RocketChat/Rocket.Chat,https://summerofcode.withgoogle.com/archive/2017/organizations/5788044225413120/,lh3.googleusercontent.com/YnqJpwKfMzgUrQPlKAxMZzFTrsDYjQEi8GTLbsD8WFFlhR7YN_xMC4i-ZYDOoLfb18aGM0T8DNRSF78bq7xKXqLOFdGjUSE
Rspamd,High-performance spam filtering system,Social / Communications,"c , lua , cmake","machine learning , email , spam filtering",1,https://rspamd.com,https://summerofcode.withgoogle.com/archive/2017/organizations/5230067307249664/,lh3.googleusercontent.com/FNoDwqYiECa07UKDfGUtOK7WmDblUp8eFA4HFdG3JjmIGIDUND7vQdxYDVomDGfVu7Wt5ASVuYCAEmGkA4Iqsu9IuV1syIh6
RTEMS Project,RTEMS is a real-time operating system used around the world and in space.,Operating Systems,"c , python , posix","real time , operating system , kernel , embedded systems , multicore",4,https://www.rtems.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6586933375401984/,lh3.googleusercontent.com/DB1LdjBqEwe0NSdMOsC1CLKuU6L9-YBnhnaAeaUN7Q3zp-cAv56jttxkkPRa9B68kmoDxgMLRhHULWDyhYAp88h3Qqo-OkA
Ruby on Rails,Ruby on Rails make web application development easy and fun.,Web,"html , ruby on rails , ruby","web , full stack",2,http://rubyonrails.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5017499041005568/,lh3.googleusercontent.com/c276B7NxmAOEBnq4vaSbOwUd1bvPUdUJC2XNNQnGk9cce7_-7uff7d6mbfpuW2QBcI699Lu6XrTrfo2lgpZGAJsQ9MmRDCM
Ruby Science Foundation,Tools for Scientific Computing in Ruby,Science and Medicine," ruby , science , web , data , gpu","science , data , web , package management , hpc",3,http://sciruby.com/,https://summerofcode.withgoogle.com/archive/2017/organizations/6710362682425344/,lh3.googleusercontent.com/AGhVpjj4DSMCpJhxUjdFqGtTHoMDeyz4v4NFgacKReNQiaerwjC9AXrgHQ7A3s2QMw-4xGa9q4E_pIKos3FXue9tsHORVA
Sage Mathematical Software System,open source math software,Science and Medicine,"python , cython , c++ , c","mathematics , algorithms",5,http://www.sagemath.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5071296056524800/,lh3.googleusercontent.com/99y5NbDUXdd32mgBKjcidnDzrt6ntx0-77Q7W-jmENkJwZpi3EQFobouaZu6qS9IQ6l9sz27QCxE3ZkCXocDpmEBTpYsx7f8
Samba,Opening windows to a wider world.,Cloud,"c , python","samba , networks , interoperability",1,https://www.samba.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5093706659004416/,lh3.googleusercontent.com/rD1kh5ljL5e_xVm2A38dl4S3kKWGspHq4e2W6yemA2jqHpqDXzvH7E0_Q0HKoVqQKcdxf9qBc4hCEEgyN-YJYc-Uox434j4
Scala,The programming language where object-oriented meets functional.,Programming Languages and Development Tools,"scala , jvm","compiler , programming tools , functional programming , programming languages",8,http://www.scala-lang.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6452441306365952/,lh3.googleusercontent.com/EfPjiSXyWRJFZS5idWZo5thkjEbuVk0spqEsvV9SO46IEOIXwk6hRTdePYNGbV2AZ17z1dYGZDMsdZkeDBPG8D5f-HF3IK0F
Scilab,Numerical computational package and high-level programming language.,End User Applications,"c++ , java , python , c , opengl","graphics , numerical computing , programming language , scientific visualization",5,http://www.scilab.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6603475844595712/,lh3.googleusercontent.com/ciM8klwqNEZfQcSwIFTjazdZ2oBb_MhfRStvR7l_52RgNrfdle3XfebJtH6edg_3KfUnZCLwZoOEigXqvuajR7ABWyqBeJM
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,End User Applications,"c++ , sdl , opengl , assembly","game , engines , software preservation",2,http://www.scummvm.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6165044375060480/,lh3.googleusercontent.com/mU6cBaJ-fL843_k3vp3okXqqFa49WvvL26wNG4yT448_RDaijiyZF-jSsoaQXHXtez8WT6RcKQls1Qv1WWJwsv4e56ZK7w
Shogun Machine Learning Toolbox,Unified and efficient Machine Learning,Science and Medicine,"c/c++ , python , swig , machine learning , cmake","machine learning ,  statistics ,  fast algorithms ,  bioinformatics ,  software engineering",4,http://shogun-toolbox.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4704476053110784/,lh3.googleusercontent.com/GH1nNTJd4lsY-I4oxhehL-L2ROAAyxmG_axiGL0s-nniW1a0QuBs3MpCPz3z-SDT7_Yiq-2hUmUnNVr2KfMk3Dr66mjCsmM
Sigmah,Java/GWT platform for humanitarian project management,End User Applications,"gwt , java , postgresql","humanitarian , project-management",2,http://www.sigmah.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5019976297611264/,lh3.googleusercontent.com/93j_B6_iRuj44vvNZhG5HeC8UY4b74xxz3SfQQF6r0dqq8S3yzv76u1BUM09yp2IzcGu_aWvbWrymJYkaKXTO6oGTDbYGQ
Software Product Data Exchange (SPDX),Promoting open source compliance through standard communication of SW licenses.,Programming Languages and Development Tools,"rdf , python , java ,  github , c","compliance , opensource , licensing",4,http://spdx.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6300304437936128/,lh3.googleusercontent.com/jp89zqVYlb5DFuc9HjcPPUbuRUdCQgqs3-PBBZFn3DIELK704lntXmsW3DFtsHGpESagwyMqcGuJq4FSnl6VX2VLed3aPE4
STE||AR Group,The C++ Standards Library for Concurrency and Parallelism,Other,"c++ , boost , hpx , c++17 parallel stl , parallel algorithms","runtime systems , c++ standardizaion , algorithms , parallel computing , high performance computing",4,http://stellar-group.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6145876204453888/,lh3.googleusercontent.com/Kc-BNjySFJaBDzsEedTqUjvXt0yTXyrc_URSvFTXioggacbB2E3K8yEZmthrnVhEsHX-THYIDE1cUVVR1WD255XJcX0YvLk
"Stony Brook University, Biomedical Informatics",Advance biomedical knowledge through innovative data science research,Science and Medicine,"big data , apache spark , matlab , c++ , hadoop","biomedical informatics , medical imaging , bioinformtics , big data , database",3,https://bmi.stonybrookmedicine.edu/,https://summerofcode.withgoogle.com/archive/2017/organizations/6367868836904960/,lh3.googleusercontent.com/fMyKpsVNH6HY15TUJ7sJRMGYeB3kKht8uvtQhN-Xlyh2wMwqASsMx_4x90UGgeCs4c1HFmkjspRW761Aop5snvcqNfb7t3xb
strace,linux syscall tracer,Operating Systems,"linux , c , git , shell script , make","linux , syscall , tracing , c , git",4,https://strace.io,https://summerofcode.withgoogle.com/archive/2017/organizations/6249254993526784/,lh3.googleusercontent.com/l2t1T9gvkoaETh9IYLRu4TQKKquWXKYHYLfe0nHyWTwmuuTbQO_gyFRd4ayH4tNaaeO8TBJg7PY1WlqOJWJn76Cy8BaYi7g
